,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwIZkZW-SJ9ld1QD0x4AaABAg,fs8zPuFJhSI,Телеканал Дождь,0,0,Прекрасный Тварец,"Я люблю тебя Анна....Немзер, подробности у меня на канале.",2020-06-19T11:58:42Z,0
1,UgwaSC5FCxL-Y9HHVWp4AaABAg,fs8zPuFJhSI,Телеканал Дождь,0,0,юрий V,Аня похудела,2020-06-14T17:39:14Z,0
2,UgxfuRPqnZBg2mCCurl4AaABAg,fs8zPuFJhSI,Телеканал Дождь,0,1,Я Кат,"Детский дом и степень инвалидности это РАСПИЛ! Пока есть коррупция, непрозрачные системы поставок, директора без психолого-педагогического образования и супервизии, ничего, блин, не изменится. Для них дети это разменная монета их шкурного благополучия.",2020-06-07T15:06:14Z,0
3,UgzH9hRcfug9bUviB9R4AaABAg,fs8zPuFJhSI,Телеканал Дождь,0,1,Hsmal Blethe,"Ну слушайте умственно отсталых тяжело воспитывать практический НЕРЕАЛЬНО. А почему не берутся дети инвалиды физические, которые умные? Потому что с умственно отсталым легче, его запер в комнате и всё?  Много детей с ДЦП  ходят и умные.  Я уж молчу про совсем здоровых детей сирот. Общество само виновата берут то что легче.",2020-06-07T06:17:13Z,0
4,Ugy_z0J43_5r3CPESN54AaABAg,fs8zPuFJhSI,Телеканал Дождь,0,0,Marina Ivanova,"Спасибо, Дождь, что поднимаете эту тему - и так профессионально!",2020-06-06T13:27:42Z,0
5,UgzJhU4Dcmcy5wUMe014AaABAg,fs8zPuFJhSI,Телеканал Дождь,0,2,NATHAN KATSMAN,"важная передача, спасибо  , дождь.
подписался на канал елены, буду смотреть эти фильмы",2020-06-06T06:11:13Z,0
6,UgzKmN4bE8rgoa3h7Ep4AaABAg,fs8zPuFJhSI,Телеканал Дождь,2,0,Владислав Погорелов,"""Система"" не в во властных структурах государства, а в головах сограждан (всех).
Какому здравомыслящему человеку придёт мысль дать такое название продукту своего творчества (фильму)?
Необходимо, сначала, самим избавиться от агрессии и лицемерия.
Потом, уже, пытаться оказывать помощь нуждающимся, а не заниматься саморекламой.
Жаль детей, которым приходиться попадать из огня в полымя.
Неужели создателям фильма самим нравится общаться с лицемерными людьми?
Если - да, то это болезнь.
Семь лет безучастности, между визитами. Это только подтверждает ненормальность общения.",2020-06-03T18:13:08Z,0
7,UgzKmN4bE8rgoa3h7Ep4AaABAg.99SOUh6gTMS99UbTCZay00,fs8zPuFJhSI,Телеканал Дождь,0,0,Владислав Погорелов,"@Анна Черняева, во-первых: не героя, а жертвы.
Во-вторых: шокировать электорат - это деструктивно.
Авторам фильма, пока, не понятны самим их собственные мотивы поведения, а демонстрируют они, не своё участие в судьбах детей, а своё невежество.",2020-06-04T14:53:45Z,1
8,UgzKmN4bE8rgoa3h7Ep4AaABAg.99SOUh6gTMS99Tsm5GdrgA,fs8zPuFJhSI,Телеканал Дождь,0,0,Анна Черняева,Владислав Погорелов название фильма это цитата одного из главных героев фильма,2020-06-04T08:05:46Z,1
9,UgyyiQ2MNVxIVyAPotJ4AaABAg,fs8zPuFJhSI,Телеканал Дождь,1,1,Сергей Сергей,"Надо организовать элитные детские учереждения с качественным образованием и содержанием.По результатам тестов определять склонность к той или иной науке.И обучать качественных юристов,врачей,экономистов.Направлять на обучение в передовые страны.И через лет 20 сменить эту корумпированную шоблу.Правда надо будет тюрьмы расширить.",2020-06-03T11:18:56Z,0
