,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwio0RYI55nizin4o54AaABAg,1LpO4pH1Cfg,Максим Кац,200,1872,Максим Кац,Если распространить видос то борьба за равноправие пойдёт чуть чуть быстрее :),2020-05-11T13:20:20Z,0
1,UgxS7boOv7JSf8J41f54AaABAg,1LpO4pH1Cfg,Максим Кац,0,2,Двести Грамм,"Спасибо,Максим за грамотный и позитивный Ролик)И за ваше поведение политическое с кандидатами))
Тем,кто там вякает про норму,добро пожаловать на курс биологии - наш вид отделился от шимпанзе млн лет назад как бисексуальный вид,также как и шимпанзе.Ещё сходите на курс истории - русская культура является культурой мужских общин с крепкими близкими партнёрствами и женских общин тоже.РПЦ она так же касается)
Почему так?Мы животные,ребята)
Гетеро в природе вцелом скорее исключение.Особи разного пола конкуренты друг другу и пользователи,а вот одного пола -союзники,потому партнёрства однополые популярность имеют.И секс совершенно не критерий отношений,партнёрство имеет широкое понятие)
Множество есть научных сайтов для ответов на вопросы и для морального ориентира по жизни.
Пользуйтесь ими,сограждане.
Всем лучей добра =)",2020-07-03T02:41:03Z,0
2,UgyF8ugConr3PhgFMOl4AaABAg,1LpO4pH1Cfg,Максим Кац,0,0,Коля Дыбенко,Ля. И ты туда же... Динах.,2020-07-03T01:37:06Z,0
3,Ugybf51ie3eS9BPjfgF4AaABAg,1LpO4pH1Cfg,Максим Кац,1,0,KainGross,"Возможно я чего-то не понимаю, конечно. Но тем не менее, возник вопрос по поводу примера из конца ролика с ЛГБТ флагом на заседании: я ничего не имею против того, чтоб представители ЛГБТ могли жить точно так же, как и все остальные люди, но я совершенно не понимаю, почему в то время, как большинство людей не выставляет напоказ свою половую жизнь, представители ЛГБТ напротив пытаются всем вокруг максимально заметно продемонстрировать свою ориентацию. К чему им свой собственный флаг, который они суют везде, где только могут ? Натуралам тоже нужно придумать свой флаг и точно так же использовать везде без малейшего адекватного повода ? Приемные дети, на мой взгляд, не должны попадать в однополые семьи, т.к. адекватное воспитание можно получить лишь в случае, если свои позиции высказывают представили обоих полов, а не только какого-то одного. Я почти уверен, что большинство людей не имело бы ничего против адекватного равноправия, но проблема в том, что ЛГБТ, как и прочие меньшинства, пытаются получить себе больше прав, чем остальные, пример тому - тот же самый флаг, который они впихивают во всех ситуациях, или их парады. К слову о парадах, раз есть ЛГБТ парады с явной демонстрацией всевозможной атрибутики, почему же нет парадов натуралов? Почему ЛГБТ и прочие меньшинства так хотят обратить на себя какое-то особое внимание, вместо того, чтобы просто спокойно жить? Это можно обосновать желанием равноправия в случае с постсоветским пространством, однако даже получив все гражданские права, они не прекращают подобное поведение в более цивилизованных государствах. Они всё так же продолжают на каждом шагу использовать радужную атрибутику, независимо от ситуации.
В общем, думаю, что если бы они вели себя сдержанно и не создавали бы столько неуместных демонстраций своей ориентации - у них бы уже давно были равные права в большинстве государств.",2020-07-03T00:26:12Z,0
4,Ugybf51ie3eS9BPjfgF4AaABAg.9AcjEUe47VH9AddXk7yfbh,1LpO4pH1Cfg,Максим Кац,0,0,Кот Minecraft,"как пол влияет на высказывания? кричат,чтобы было нормальное отоношение к ним",2020-07-03T08:55:39Z,1
5,UgxS_Qvu1grPniaCwWF4AaABAg,1LpO4pH1Cfg,Максим Кац,4,0,Dyky,"Я чутка запутался. Ролик вышел, судя по Youtube, 11 мая, но при этом в нем уже прикреплен скрин с Black lives Matter. Флойд же умер 25 мая",2020-07-02T23:27:12Z,0
6,UgxS_Qvu1grPniaCwWF4AaABAg.9AccUGIPxLv9Ade0nFT8_S,1LpO4pH1Cfg,Максим Кац,0,0,Dyky,"Кот Minecraft а, движение несколько лет существует. Этого я не знал",2020-07-03T08:59:53Z,1
7,UgxS_Qvu1grPniaCwWF4AaABAg.9AccUGIPxLv9AddOIT_GlX,1LpO4pH1Cfg,Максим Кац,0,0,Кот Minecraft,@Dyky Дата основания: 13 июля 2013 г. раньше тоже много волн протестов было,2020-07-03T08:54:21Z,1
8,UgxS_Qvu1grPniaCwWF4AaABAg.9AccUGIPxLv9AcfYOPNygu,1LpO4pH1Cfg,Максим Кац,0,0,Dyky,Кот Minecraft 10:02,2020-07-02T23:53:58Z,1
9,UgxS_Qvu1grPniaCwWF4AaABAg.9AccUGIPxLv9AcfI9jOGym,1LpO4pH1Cfg,Максим Кац,0,0,Кот Minecraft,в каком моменте?,2020-07-02T23:51:45Z,1
10,UgzePBWxhBGfp1761H54AaABAg,1LpO4pH1Cfg,Максим Кац,2,0,Татьяна Морозова,"не понимаю зачем так нужна эта пропаганда лгбт?  и не вижу никакой связи с экономическим ростом и развитием! есть достаточное  количество экономически развитых  стран в которых  лгбт не легализовано! я не против лгбт! я против  пропаганды ! У нас 90 %  общества  ведомые, это если не считать молодеж до 23-25 лет, там все 99% будет. Сначала нужно правильные ценности воспитывать, а потом думать над легализацией секс меньшинств!",2020-07-02T17:55:25Z,0
11,UgzePBWxhBGfp1761H54AaABAg.9Ac1WI0T6bT9AcfQmnwKL0,1LpO4pH1Cfg,Максим Кац,0,0,Кот Minecraft,"ужасная позиция,называйте это как хотите,но люди должны иметь право мирно выходить на улицу и протестовать",2020-07-02T23:52:56Z,1
12,UgzePBWxhBGfp1761H54AaABAg.9Ac1WI0T6bT9AcUNL0SHd_,1LpO4pH1Cfg,Максим Кац,0,0,Дмитрий Елисеев,"> У нас 90%  общества  ведомые
И в особенности попугаи, которые с 2013 года повторяют слово ""пропаганда""",2020-07-02T22:07:36Z,1
13,Ugz95PEz8RNRRKYtcPJ4AaABAg,1LpO4pH1Cfg,Максим Кац,0,2,bella zafesova,Спасибо за Ваш труд.,2020-07-02T15:28:30Z,0
14,Ugwq0ZTMr8Omg06xibp4AaABAg,1LpO4pH1Cfg,Максим Кац,0,0,Kano Blackdragon,"Дизлайков меньше, чем на видосах про разоблачение совка.",2020-07-02T13:05:48Z,0
15,Ugz1fSkfuPtNF0rlDct4AaABAg,1LpO4pH1Cfg,Максим Кац,6,1,demolator. md,"Брак это союз мужчины и женщины , а не двух мужчин .
То что двое бывших мужчин решили заниматься сексом это их выбор , но не надо это называть браком .
А если какой то товарищ решил использовать какое либо животное для удовлетворения своих секс.потребностей , это не означает о том что их отношения надо регистрировать. 
По поводу усыновления детей вообще не понятно , если вы любите детей так организуйте нормальную семьи , а если хотите заниматься сексом с себе подобным , тогда откажитесь от мысли что у вас когда-нибудь будет ребёнок. 
Тут ничего сложного.",2020-07-02T09:49:07Z,0
16,UgxZn47KALftAVaTB7t4AaABAg,1LpO4pH1Cfg,Максим Кац,0,1,Мирской Персик,"В этом видео дизлайков 11%. В других в районе 5%.
Весьма занимательное и полезное наблюдение в видео, отлично обоснованное.",2020-07-02T06:41:04Z,0
17,Ugy3oWEnk2fhPwUadgV4AaABAg,1LpO4pH1Cfg,Максим Кац,20,0,Alex Kass,"Максим, надеюсь ты этот длиннопост прочитиаешь. В первую очередь, считаю, что институт брака в современных реалиях устарел и требует реформирования. Равно как и понятия в отношении приёмных детей вроде ""папа"" и ""мама"". Общество уже перешагнуло необходимость опираться на биологическое родство (тут, коммунисты всё же были правы). С точки зрения государства ячейка общества не зависит от пола и состава и скорее должна быть основана на взаимоотношениях людей. Говоря о правах и свободах, я сам волен выбирать кто имеет право принимать за меня решения в случае моей недееспособности, получать наследство и так далее. Почему это должен быть супруг(а), дети или ещё кто-то, кого назначает государство?
Во вторую, соглашусь с тем, что у нас общество нетолерантно относится к ЛГБТ сообществу. Лично мне всё равно кто куда суёт свои части тела, пока их суют не в меня и вообще не прибегают к насильственным методам. Тут можно скатиться к дискуссии, например, о возрасте согласия или о всяких разных девиациях. Но регулирование должно быть в области именно нарушении чьих-то прав. И у нас уже есть замечательные статьи в УК на эту тему.
С другой стороны, считаю любое выпячивание каких-то личных характеристик, будь то пол, цвет кожи, сексуальная ориентация или политические взгляды недопустимым. Простой пример: почему у ЛГБТ сообщества есть флаг, а у гетеросексуалов нет? Почему gay pride существует, а natural pride нет? Почему ""black lives matters"", а не ""all lives matters""?
Так же вопрос возникает, а что будет, когда ЛГБТ достигнут своих целей (браки, права, отношение общества)? Неужели они на этом остановтся? Или будут как ""феминистки третьей волны"" или негры (тут нет никакого расисткого подтекста, ведь ""негр"" - он же негр, а ""азиат"" - это азиат, например, это всего лишь раса) в США требовать для себя преференций? Вообще какой-то нездоровый тренд ""платите за свои ошибки"" (рабство негров в США, угнетение женщин и т.п.). Я лично никаких ошибок не совершал. Почему я, белый гетеросексуальный мужчина должен извинияться за поступки людей, которых меня всего лишь объединяет цвет кожи и сексуальные предпочтения? Не пахнет ли тут обратным расизмом?",2020-07-01T21:29:23Z,0
18,Ugzben5QfbitX0q3nPx4AaABAg,1LpO4pH1Cfg,Максим Кац,3,1,Nalcon Hronosfer,"Мне видится в корне неверным говорить о генетике в контексте ЛГБТ. Это социокультурное явление. И, да, люди могут и имеют право жить и спать с кем хочется по совести и морали. Запрещать или ограничивать это - бесполезно и неразумно. Вот только проверить наличие ""гена ориентации"" или установить ""роль гомо в популяции"" - невозможно, т.к. потомства ЛГБТ иметь не могут, ввиду чего любые эксперименты окажутся провальными. ""Аргумент"" про генетику в подобных темах носит сугубо PR-характер и является производным лево-радикальных течений.

P.S.
Как-то писал коммент, но то ли телефон криво опубликовал, то ли... Не хочу думать плохого :) .",2020-07-01T21:11:44Z,0
19,Ugzben5QfbitX0q3nPx4AaABAg.9A_oBEK4pR69Aa4zJzy_ms,1LpO4pH1Cfg,Максим Кац,0,0,Nalcon Hronosfer,"@torjimon Значит, всё же, трёте комментарии.",2020-07-01T23:47:15Z,1
