,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxdF03aaF4vkhMkAPV4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,atom atom,"Сейчас удобно быть либерастом. Можно воровать, убивать, а если поймают, то тут же поднять шумиху ""я политический, власть меня убирает"". И все нормально будет.",2020-07-01T21:29:22Z,0
1,UgwbUdVhb9v0aYx9ndJ4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,качко олег качко,Очень маленький сррк,2020-07-01T03:59:08Z,0
2,Ugx4PHsgMFjMTr8k1C14AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,2,Матвей Ивашин,"129 миллионов украли, получили условно. Как так можно???",2020-06-27T18:00:31Z,0
3,UgzFNCkjj4lt0attU9l4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,1,Справедливый Пенсионер,"А Сердюков когда посадят, по телевизору всем показали какой он вор,,, почему не сидит он?",2020-06-27T15:02:51Z,0
4,UgwSIVsnzcACaJ416_x4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,Справедливый Пенсионер,"Никто не верит что они виновные, это брехня",2020-06-27T14:59:15Z,0
5,Ugx_rqm2Ng3ZVegTgz14AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,2,Валентина Козеева,"Если украл,присвоил госуд.средства,отвечай по полной.Не нужно собирать театральное сообщество.Замахали уже!!!",2020-06-27T12:40:53Z,0
6,UgxKgI954xzfdVPIxSN4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,Maxus Gladius Simone,"""судьи"", вы, либо приговор обоснуйте,
либо обвинение снимите.
... обвинялка ж на пожизненное тянет.
А то КРАСТЬ МНОГО - МОЖНО И НУЖНО!",2020-06-27T10:16:58Z,0
7,Ugwyo64buysp1Tcgq0N4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,Анна Сергеева,Цой бы блеванул если бы увидел этот фильм,2020-06-27T09:18:29Z,0
8,UgyX-iE06ZGjiyaKCBJ4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,2,Андрей В,Ворьё.,2020-06-27T08:59:27Z,0
9,UgxYe9jsXrKZADAubYt4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,NINA ZHUKOVA,"А те чёрные лесорубы   Сыктывкара? Денег наколотили, столько!!!!!!! Лесов вырубили за 2 копейки продавали вековые леса,  и им ничего! 🥺",2020-06-27T07:26:46Z,0
10,Ugx_nXoViYqwfWzJ13V4AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,0,D Im,Сколько бы денег этот «творец» собрал за свое творчество ? Что то мне подсказывает что он очередной кусок говна,2020-06-27T05:43:37Z,0
11,UgyhLAhA3pqO5vJQD854AaABAg,oHHUHSDq2hQ,Телеканал Дождь,0,2,Виталий Матвеев,Вор должен сидеть в тюрьме,2020-06-27T05:37:53Z,0
