,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwL2S3Z7eHEztQeUIp4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Друг истины и Платона,Мишка фишман башковит у него предвидение. Позвольте этому шифману высказать свое неудовольствие. Слушал его дилетантские высказывания о плоской шкале. Я его понял так-я жадный я делиться не хочу.,2020-06-23T23:30:04Z,0
1,Ugy_3V-wgRIinmQ8AC14AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Antikrists,Normalnij kannal 😎,2020-06-20T07:09:14Z,0
2,Ugwc0FoMTvuloPwuagN4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Алексей,"Путин, не Путин.. я скажу проще. Деманюки не могут предугадать что будет, потому они лишь испытывают. И лишь истина не нуждается в пророчествах. Она постоянна. Так кто сидит в кремле?",2020-06-19T14:49:10Z,0
3,Ugy_4UGUWDf4Lr5N5CB4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Mr Jeff,владимир zalupin,2020-06-18T18:35:36Z,0
4,UgzLU6_ixx2MOZRwTSt4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Исрефил Агаханов,"Путин Владимир Владимирович единственный президент владеющий не только высоким интеллектом, но и политической, социально-экономической мудростью. Все, которые против него, в конечном итоге проиграют. 
АИР. 18. 06. 2020.",2020-06-18T16:54:39Z,0
5,UgxKS07bRlukJP5An2p4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Любовь Нарышкина,"В этой ситуации нельзя проводить голосование. Голосование разрешают, а митинги запрещают.",2020-06-18T12:25:36Z,0
6,UgzBnLxiHAaVSBctSWZ4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Любовь Нарышкина,"В самоизоляции пусть находится Путин и Собянин и заражённые коронавирусом. Все здоровые недолжны сидеть в самоизоляции. Шаман воин Александр Габышев сказал, что в изоляции должны быть только больные люди.",2020-06-18T12:23:59Z,0
7,Ugz3Z2QASPfJ9ZveVDZ4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Любовь Нарышкина,В какой строй стал Путин?,2020-06-18T12:19:32Z,0
8,UgzUl9CztMmHb6B0ri94AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Films Prodakhin,Путин гудбай,2020-06-18T02:37:13Z,0
9,UgwTuZ7GYPF2SIH-BKB4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Fanit Vagizov,"Самоизоляцию-добровольное заточение власть превратила в насилие-запреты,задержания,маски,отсидки дома,штрафы...нарушив им ст.2Конституции-права и свободы людей.",2020-06-17T16:10:19Z,0
10,UgwknE8WnJlWlB-UTFN4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,energetik,Мразотный карлик всё ближе к виселице,2020-06-16T09:42:59Z,0
11,Ugxn_WCH9C5amjMYPQh4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Denis Russos,Путин еблан конченный,2020-06-16T08:41:37Z,0
12,UgxyPdEd2Hz21RerEqN4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Denis Russos,Тупой ты,2020-06-16T08:40:43Z,0
13,UgyFPJMmL9swlg_PDzl4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Denis Russos,Зачем ты говоришь слово карантин?,2020-06-16T08:39:53Z,0
14,UgxxMxtwPozlVYS4AER4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Denis Russos,А в саратовской по 128 человек в сутки,2020-06-16T08:38:28Z,0
15,UgylH-vEfPO779jxCtx4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Tamara D,"Но больной народ нуждается в опытном враче., поэтому и должен устремляться к Нему и следовать Его советам до выздоровления. Поэтому актуальны Его Слова: ""Если вас не способен объединить Мой Образ Иисуса Христа, то вас ничто уже не объединит."" С.Торгунаков",2020-06-16T07:59:36Z,0
16,UgxXJH8MCtkWCKKZdnR4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Tamara D,"Иисус Христос Второго Пришествия о коммунистах. ​Иисус Христос в нынешнем воплощении Сергея Торгунакова: ""Ну вот жизнь и показала всем, кто такие коммунисты! Коммунисты позорно предали свой народ советский. Возглавляли СССР 70 лет, втёрлись в доверие людям основательно, причём в течении нескольких поколений, а потом они же и исключили сами себя, как правящая партия Советского Союза.",2020-06-16T07:07:29Z,0
17,UgwQIuUz1VwnxMGOcdB4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,1,Николай Елистратов,"Есть предложение вернуть смертную казнь для паникёров за психологический терроризм,Белоруссия и Швеция не вводили самоизоляцию где миллионы жертв?",2020-06-15T20:20:58Z,0
18,UgwwIzrtnEWKyTyjCSp4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Larissa Mokhutova,"Гомера кто ему процитирова, Кириенко? Мне интересно что в голове у Путина, как он такие речи принимает от него",2020-06-15T15:47:53Z,0
19,UgxQ44xw8ka1y6ke-dx4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,костя костин,"ВОТ КОЗЁЛ НЕ  ХОЧЕТ С ВАЛЬКОЙ ТЕРЕШКОВОЙ НА МАРС  УЛЕТЕТЬ,  ХОЧЕТ С КАБАЕВОЙ НАД РОССИЕЙ ГЛУМИТСЯ !!!!",2020-06-15T14:50:31Z,0
20,UgwQFNQTjZcGaqErurp4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,sasha popov,"Ведущий прикольный мужик,ему бы в голивуде в кино сниматся! типаж комедийного актера! это не стеб просто реально чел мог бы в кино сниматся!",2020-06-15T14:14:09Z,0
21,Ugw0CLHtzk1WyIDj6F14AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Светлана Гацалова,"Достали, ложь, ложь, ложь!",2020-06-15T11:05:19Z,0
22,UgyTKNS0jr-1QjrihO14AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Павел Поздеев,Кто сказал что путин не строит Россию) строит но только в ряд)),2020-06-15T08:44:33Z,0
23,Ugzxdq0ZATb5_GGpg714AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Olga Chekalina,Я в само изоляцию и не уходила.кргда была работа работала.гуляла.ездилаив метро.и не заболела.,2020-06-15T06:29:32Z,0
24,UgxdBv7Q-qIKGvk9Yup4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Ирина Морозова,Позор Путину и всем его жополизам!,2020-06-14T14:20:57Z,0
25,UgyB7-huupiDLSq_MEt4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Ирина Морозова,Долой Путина!,2020-06-14T14:19:44Z,0
26,UgyeCr9wyS3EKQkaep54AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Александр Лукашов,Альхен!,2020-06-14T05:28:55Z,0
27,Ugy8IOVufgmN-RdF_VF4AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,DaggettTheBestBeaver,греки уже спрыгнули с кораблей на сушу ))),2020-06-14T03:11:32Z,0
28,Ugz2tB7jD8OxvBu4GY94AaABAg,wp8YNTsJXUI,Телеканал Дождь,0,0,Валентина Мармозова,"Я его голос слышать ге могу,  такой  вкрадчивый, смиренный.... А на самом деле говорит лицемер, пофигист, лжец, крышующий своих дружков - одигархов!",2020-06-14T01:45:27Z,0
