,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxTWBFpf-2E1zvEmjp4AaABAg,Ajk83wRV8uU,Максим Кац,208,979,Максим Кац,"Чем больше людей поймёт, как всё работает тем быстрее вырастут зарплаты. Давайте распространим ролик :). Это очень частный вопрос, «почему у нас такие низкие зарплаты». Но задающие его не понимают механику и голосуют за Путина или за ЛДПР с КПРФ. В результате никаких изменений не происходит, мы стоим на месте с 2008 года",2020-06-08T14:04:15Z,0
1,Ugz6WJg6nzCmRBs-KwV4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,Вася Иванов,"Ловушка среднего дохода лечится обвалом нац. валюты, это даст возможность ещё какое-то время избегать безработицы, для власти это лишние пара лет выкачивания ресурсов из страны.",2020-07-03T11:44:05Z,0
2,Ugx7vZRYS9uHOfB-yqZ4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,Lapotь,Было бы интересно послушать ваше мнение о коррупции в нашей стране. Вообще есть ли хоть какой нибудь шанс ее снизить до приемлемого уровня?,2020-07-03T08:23:24Z,0
3,UgzaLzE52MNTUaIYYNh4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,Алина Устинова,Спасибо вам за видео! Очень много нового и интересного подчеркнула для себя!,2020-07-03T07:54:08Z,0
4,Ugw1mND3lowzYjmSzKN4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,zhivnovivan,КАЦ отдохни хоть немного!!!,2020-07-03T07:08:38Z,0
5,Ugx9mmI6pGx5ySMwGAh4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,евгений миров,дохуя рекламы,2020-07-02T20:03:36Z,0
6,Ugwpd7Aojk3Sw6F4J5R4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,Пётр Бородин,21:32 Перечислены реальные действия которую помогут поднять зарплату в России матушке,2020-07-02T17:46:55Z,0
7,UgyjBFDA1SkRtXd55GR4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,Салим Алеулов,"Максим, я вас очень уважаю и люблю, но поверьте, МРОТ в России очень даже имеет отношение к реальности, прямо-таки непосредственное, я бы сказал.",2020-07-02T16:15:43Z,0
8,Ugyl2MNdVH1Xn7-Q5ol4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,로이씨 Roi,"Как же хочется, чтобы хоть что-нибудь сдвигалось с мертвой точки. Бездействие надоело",2020-07-02T11:54:56Z,0
9,UgxLM1Q8v4XQM9c3KZd4AaABAg,Ajk83wRV8uU,Максим Кац,0,0,Александр Рябинин,Ну такое: смотришь объявления 10-15 тыс руб/мес продавцы теже...,2020-07-02T11:18:19Z,0
