,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyjQv3waGIyyvrdgiJ4AaABAg,uyiudptWAAY,Максим Кац,90,600,Максим Кац,"О, 2/3 посмотревших вчерашнее видео — подписчики. Отлично! Если вы вдруг ещё не — подпишитесь :)
А вот колокольчик стоит только у 13% зрителей :(",2020-05-04T15:04:42Z,0
1,UgyHE0CfjYohoAkiYaB4AaABAg,uyiudptWAAY,Максим Кац,0,0,Kasia Kas,"Ура коооооот!) Очень нравятся перерывы на кота, но иногда сбивают с мысли)",2020-07-01T21:11:15Z,0
2,UgzqCY0WtZ5bixUfuX94AaABAg,uyiudptWAAY,Максим Кац,0,0,Максим Васин,"Максим, спасибо!🙌🌍",2020-07-01T08:51:58Z,0
3,UgxECui_GCezXUs9SLd4AaABAg,uyiudptWAAY,Максим Кац,0,0,Станислав Королев,"Чётко, все по делу и очень доходчиво 👍🏻",2020-06-30T12:15:56Z,0
4,UgyIggUsG5jpAxv6qVB4AaABAg,uyiudptWAAY,Максим Кац,0,0,Printer,"Дворец растёт не только из пороков системы, но и из сущности человека – получить больше, приложив меньше усилий.",2020-06-29T18:30:20Z,0
5,UgwCbpOTqLEN_UfgWox4AaABAg,uyiudptWAAY,Максим Кац,0,0,Тимофей Воловатов,"Эксплоатация это слишком круто... Поправьте пожалуйста на эксплУатацию. Или объясните то, что мы не понимаем. Очень яркая опечатка, но в остальном, прекрасное видео и спасибо вам огромное! Постараюсь распространить, но только после исправления",2020-06-29T07:08:40Z,0
6,Ugz5jF5l5YZy9Blo9Lt4AaABAg,uyiudptWAAY,Максим Кац,0,0,Ольга Иванова,спасибо))) комментарий для поддержки канала,2020-06-28T18:29:50Z,0
7,Ugxz-n0RMNAr4Zud0zp4AaABAg,uyiudptWAAY,Максим Кац,0,0,lalka,"Нужно больше подробных примеров. С икеей непонятно, 6 лет не могли достроить комплекс из-за коррупции, но разве если бы икея выплатила взятку,  здание построилось бы на порядки быстрей, разве нет? Или может выдвигались неприемлимые требования чиновников? Из видео не понятна ситуация, получается что наоборот икея своей принципиальной позицией задержала создание рабочих мест на несколько лет. 
Пример с нефтяной компанией возможно больше подходит для понимания коррупции, но его коснулись вскользь.",2020-06-28T06:15:25Z,0
8,Ugzd_TmUm7kqu4yagCJ4AaABAg,uyiudptWAAY,Максим Кац,0,0,Елена Спасова,"Поняла только, когда привел пример с икеей 🤣 как много сложных предложений 🙃",2020-06-27T19:52:51Z,0
9,UgyJ3yuA_8y7bM9144x4AaABAg,uyiudptWAAY,Максим Кац,0,0,Иван,"Россия - удивительная странна, где нужно снимать объяснение, чем таки опасна коррупция.",2020-06-26T10:58:50Z,0
10,Ugxf4BSo2QUOd22OSrx4AaABAg,uyiudptWAAY,Максим Кац,0,0,CinemaGameS,"""Всё мне стало ясно теперь.."" Спасибо Максим.",2020-06-26T04:55:23Z,0
11,Ugxe_l3U-fg_zWA1Hl94AaABAg,uyiudptWAAY,Максим Кац,0,0,Ex Triton,"Закон сохранения денег, такой же как и закон сохранения энергии. Деньги ниоткуда не беруться и никуда не деваются. Если у кого-то яхта за лярд, значит это украли у вас. Всё просто и логично. Бизнес зарабатывает, вы сами принимаете решение дать ему заработать или нет, а чинуши пилят бюджет из ваших/наших налогов.",2020-06-25T18:59:44Z,0
12,UgznpNf5iLz1pB1hVup4AaABAg,uyiudptWAAY,Максим Кац,0,0,Натали Иванова,Отличное видео! Спасибо! Приятно слушать грамотного человека,2020-06-25T07:46:24Z,0
13,Ugx_pSOzkINPzqQaKBl4AaABAg,uyiudptWAAY,Максим Кац,0,0,Torson,"Очень качественно видео сделаны, очень интересно смотреть! 👍",2020-06-24T04:33:42Z,0
14,UgyC1fZrdYBHdent_cZ4AaABAg,uyiudptWAAY,Максим Кац,0,0,Max Samukha,А кто писал текст?,2020-06-21T18:08:18Z,0
15,UgzBIv1G6IodKrrHupV4AaABAg,uyiudptWAAY,Максим Кац,0,0,Konstantin M,Вот это контент! Максим просто занимается бесплатным образованием подписчиков.,2020-06-21T11:04:34Z,0
16,UgzHVz58flmnLuLQ1Nx4AaABAg,uyiudptWAAY,Максим Кац,0,1,Михаил Николаев,"Сынок иванова сергея ,хозяин Алроса подарил президенту желтый алмаз небывалой величины.Интересна судьба алмаза сегодня ????",2020-06-21T05:40:35Z,0
17,UgwbhNB3-1F85J_Qunl4AaABAg,uyiudptWAAY,Максим Кац,0,0,Valentine A,"Всем рекомендую посмотреть ""информационные автократии"" Сергея Гуриева",2020-06-20T22:19:48Z,0
18,UgxxptJRWq5TuhpzXHV4AaABAg,uyiudptWAAY,Максим Кац,0,0,Owee Gooss,"Лучше станет лишь через пару столетий или после гражданской войны, революции, восстания.
Поэтому, стоит признать, что вы все проживёте свою жизнь и умрёте недовольными жертвами своей России :(",2020-06-20T21:34:27Z,0
19,UgzqBpBlmXmK4yfRBAt4AaABAg,uyiudptWAAY,Максим Кац,0,0,Дарья Беззубенко,"Безумно интересное видео. Никогда не задумывалась о том ,что корупция приносит на столько огромный вред нашей стране. Спасибо за подробное и четкое объяснение. Думаю многим будет полезно это знать!)",2020-06-20T18:09:34Z,0
20,UgwvgPHOx9v7sXgWOMJ4AaABAg,uyiudptWAAY,Максим Кац,0,0,Ян,4:09 кот по кличке Кот?,2020-06-19T16:15:54Z,0
21,UgyEJksDfaLuU2YZUFt4AaABAg,uyiudptWAAY,Максим Кац,0,0,Анна Казанцева,Какой же Вы УМНИЦА! Удовольствие слушать,2020-06-19T14:00:46Z,0
22,Ugy8kS836zaFh8UXrIJ4AaABAg,uyiudptWAAY,Максим Кац,0,0,Артем Соколов,"Очень интересный канал, особенно для людей, которые собираются связать свою жизнь с экономикой. Спасибо за качественный контент)",2020-06-19T12:28:22Z,0
23,UgyR--Df_KcweBy8vhJ4AaABAg,uyiudptWAAY,Максим Кац,0,0,Yazverg,"Гениально. Роскошь дельца - это хорошая роскошь. Он же сам воспользовался коррупционными схемами. Кого-то купил, а кого-то убил. Но он создал рабочие с нищенской зарплатой или просто украл государственное и продал. ЭТО ЖЕ ХОРОШО!!! А вот чиновник, задача которого не личное обогащение (как у дельца) а выполнение каких-либо задач государства - плохой. И его нужно менять.

А почему бы не менять владельцев крупных компаний? Ну, создал человек хороший крупный бизнес и уперся в потолок развития. Дык дать ему почет и уважуху и отпустить на все четыре стороны. А чо? Спасибо за выстроенный бизнес. Дальше государство само. А он пусть новый бизнес организовывает. Обществу одна польза. Нелогично? Нелогично. А почему в отношении чиновников это логично? ПОтому что заказ из вашобкома надо выполнять и лапшу юным лохам вешать? :))) От эт логично, да-а. Но... это же и есть коррупция, Макс. Ты же коррупционер! Потому что коррупция это не использование каких-то там дефектов (это ты лошкам втирай), а ""злоупотребление служебным положением, дача взятки, получение взятки, злоупотребление полномочиями, коммерческий подкуп либо иное незаконное использование физическим лицом своего должностного положения вопреки законным интересам общества и государства в целях получения выгоды в виде денег, ценностей, иного имущества или услуг имущественного характера, иных имущественных прав для себя или для третьих лиц либо незаконное предоставление такой выгоды указанному лицу другими физическими лицами, а также совершенные вышеуказанные деяния от имени или в интересах юридического лица"". И первоисточник коррупции отнюдь не в плохих процедурах, а в изначальных намерениях человека. Честного человека излишние правила только затормозят. А коррупционеры всегда найдут способ избежать ответственности.",2020-06-19T09:59:22Z,0
24,Ugx-MTvSZf6SNLeiart4AaABAg,uyiudptWAAY,Максим Кац,0,0,Yazverg,"Коррупция это когда мама дает какому-нибудь подписчику MaxKaz 300 рублей на конфетки к чаю, а он идет и покупает себе на них сигарет, потом самых дешевых конфет и по дороге еще засовывает себе две конфеты за обе щеки... А опасная коррупция состоит в том, если такой человек начинается возмущаться, что ВСЕ кругом воруют.",2020-06-19T09:42:19Z,0
25,UgyfEX2cnayWx41yEjV4AaABAg,uyiudptWAAY,Максим Кац,0,0,Дарья Фирсова,ну коот,2020-06-17T22:22:10Z,0
26,Ugzox3KImUFp2LwRusx4AaABAg,uyiudptWAAY,Максим Кац,0,0,German Вася,"❗️❗️❗️❗️❗️❗️❗️❗️❗️Максим,мне кажется,пришло время создать рубрику ""Простым языком"",где вы,этим пресловутым языком,будете разъяснять широким массам сложные понятия,например,такие как:""Кейнсианская теория простым языком"" ну и тд,я уверен,это будет полезно для зрителей,не имеющих широкие представления о важных вещах.Ведь порой,даже элементарные вещи,должны поддаваться детальному объяснению.



PS
Го в топ,что бы Макс увидел❗️❗️❗️",2020-06-17T21:10:30Z,0
27,UgyWdXGzgb9AGni5OGN4AaABAg,uyiudptWAAY,Максим Кац,0,0,exel001,"у меня родители были обычными людьми, инженер и учитель, мы жили в соседней с московской области, и у нас всё нормально было с колбасой. проблем с едой не было никаких вообще. из детства помню, что регулярно собирались застолья с гостями на все дни рождения и не только. это, считай, все восьмидесятые. я это к тому, что с едой тогда всё было совершенно норм, может хватит уже впаривать тему про голодавших совков?
жаль что Максим так откровенно хейтит ссср, т.к. в целом производит впечатление рассудительного человека, способного разбираться в сути и не окрашивать всё в чернобелую палитру юнного максималиста.  если бы не это, пожалуй, голосовал бы за него.
твоим потенциальным избирателям от 40 лет, самая многочисленная группа. они все жили ещё в не раздербаненом ссср в молодости, и у многих остались вполне хорошие личные  воспоминания, им нельзя просто сказать ""вы жили плохо"", не прокатит.
сделаешь жизнь людей лучше - флаг в руки. просто какой смысл в таком остервенелом хейте - непонятно.
p.s.  чуть не забыл, чтобы не думали мол ""старое поколение ностальгирует по тем дефицитным годкам потому что сейчас у них маленькая пенсия, а лучшие годы ушли в прошлое"" сейчас я живу очень неплохо, у меня хорошая работа, с нуля заработанная квартира и так далее. но всё равно я топлю за тот строй, т.к. вижу, что тогда и страна (то, что называется государство) была лучше, и уровень доверия был выше на порядок (искреннего доверия), тогда обычный человек жил лучше, без стрессов, общество было лучше. мораль (как бы пафосно это ни звучало) у людей была просто небо и земля в сравнении с совеременными людьми. и хотя к концу ссср идеологический запал уже выдохся окончательно, но всё ещё в 80-е годы ощущение осмысленности существования страны и каждого человека ещё имело место. а сейчас мы просто щепки в грязной луже, ошмётки былой цивилизации, карлики, высокомерно плюющие на заваленного колосса.",2020-06-17T20:28:56Z,0
28,UgzT1OQygS8v_4BicAd4AaABAg,uyiudptWAAY,Максим Кац,0,0,alex supra,"Правильно - ""эксплуатация"". ""Эксплоатация"" считается орфографической ошибкой.",2020-06-17T19:22:42Z,0
29,UgwBOkuIQNZ6wDWjJXp4AaABAg,uyiudptWAAY,Максим Кац,0,0,Владислава Соловьёва,"Кстати, в Италии именно с этого начали путь к развитой стране: борьба с мафией, которая там, сами понимаете, как развита. Но они многого достигли, что сразу отразилось на экономике. Сейчас, если ты устраиваешь сына на работу по звонку директору - ты помогаешь мафии. Это общественное мнение, и не только.",2020-06-17T08:01:11Z,0
30,UgwsEKrbvuSt7S4Hys94AaABAg,uyiudptWAAY,Максим Кац,0,0,Александр Смелов,"Максим, Вы очень хорошо рассказали о проблеме коррупции, но упустили важный аспект. Коррупция искажает саму структуру потребления потребительского рынка, когда она приобретает такие масштабы, как в России. Группа коррупционеров получает сверхдоходы и тратит их на избыточное потребление предметов роскоши. А, если бы эти доходы распределялись среди граждан, то они бы тратили их на обычные товары. Стимулировали бы спрос на потребительском рынке и  расширение производства этих товаров. Что соответственно приводило бы к экономическому росту",2020-06-17T07:04:08Z,0
31,UgwV6_UNPAOAEB-YC5d4AaABAg,uyiudptWAAY,Максим Кац,0,0,Yokki Ozerki,"Ну, кот )))",2020-06-15T12:45:10Z,0
32,Ugw9-kPMlbtoPvNcTBl4AaABAg,uyiudptWAAY,Максим Кац,0,0,15 iq,Чемоданы наличных  0:09,2020-06-15T11:41:23Z,0
33,Ugy-OqI3hXGVIdlb3c94AaABAg,uyiudptWAAY,Максим Кац,0,0,Алексей Китаев,Коррупция опасна конфликтом интересов. Ждём комментариев о сотрудничестве с инопрактикой.,2020-06-15T09:12:47Z,0
34,UgxOQN7OzFXiu5FSr9V4AaABAg,uyiudptWAAY,Максим Кац,0,0,Aysel February,"Это ты то рассказывать будешь про коррупцию?
""беженец"" Израиля.",2020-06-14T16:55:59Z,0
35,UgyL_VGVurgq4Hgv-2h4AaABAg,uyiudptWAAY,Максим Кац,0,0,Nadezhda Brovina,Эксплуатация😌,2020-06-14T16:26:55Z,0
36,UgzUEc9gOjyP1cn1vgh4AaABAg,uyiudptWAAY,Максим Кац,0,0,Владимир Елисеев,Почему коррупция вредит самим бизнесменам?,2020-06-14T12:03:16Z,0
37,Ugz91oOlBVfWG74fxdt4AaABAg,uyiudptWAAY,Максим Кац,0,0,Anna Pond,"У меня есть пожилая соседка, во время изоляции мы ей помогали с покупкой продуктов. Выяснилось, что она до сих пор умудряется ""доставать"" что-то в магазинах))) Она нас просила подойти в Перекрестке к какой-то специальной продавщице, которая для нее доставала перчатки.",2020-06-13T19:44:16Z,0
38,UgwOvcXyfoto-TLOjgx4AaABAg,uyiudptWAAY,Максим Кац,0,1,E-mail Guru,"Более того, коррупция позволяет продажным борцам с наркотиками подбрасывать их людям, абсолютно не причастным к наркотикам, под пытками выбивать показания, а потом требовать денег за прекращение уголовного дела!  В Краснодарском крае это происходит довольно часто! Потому, что они знают, система их прикроет, а регулярные заносы начальству дают им карт бланш делать это на постоянной основе!",2020-06-13T13:36:18Z,0
